epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1568911846,09/19/2019 12:50:46 -04:00,3,43.6554,-70.3273,04102,Sewage,,
1568911890,09/19/2019 12:51:30 -04:00,3,43.6558,-70.3274,04102,Sewage,,
1568912297,09/19/2019 12:58:17 -04:00,3,43.6316,-70.3112,04102,Oil,,
1568933310,09/19/2019 18:48:30 -04:00,4,43.6504,-70.2357,04106,,,
1568945991,09/19/2019 22:19:51 -04:00,3,43.6411,-70.2319,04106,Fuel oil,,
1568960419,09/20/2019 02:20:19 -04:00,5,43.6418,-70.2362,04106,,,
1568964171,09/20/2019 03:22:51 -04:00,5,43.6437,-70.2359,04106,,,
1568980181,09/20/2019 07:49:41 -04:00,4,43.6439,-70.2363,04106,,,
1568980200,09/20/2019 07:50:00 -04:00,4,43.6423,-70.2355,04106,,,
1569019090,09/20/2019 18:38:10 -04:00,3,43.6416,-70.2309,04106,,,
1569025491,09/20/2019 20:24:51 -04:00,4,43.6431,-70.2325,04106,,,
1569025506,09/20/2019 20:25:06 -04:00,4,43.6415,-70.2325,04106,,,
1569025532,09/20/2019 20:25:32 -04:00,4,43.6432,-70.2357,04106,,,
1569029069,09/20/2019 21:24:29 -04:00,3,43.6438,-70.2339,04106,Fuel oil,,
1569124788,09/21/2019 23:59:48 -04:00,3,43.6441,-70.2787,04102,Ship or oil tank ,,
1569147578,09/22/2019 06:19:38 -04:00,3,43.6435,-70.239,04106,"Deisel fuel, toxic ",Headache,
1569151772,09/22/2019 07:29:32 -04:00,5,43.6417,-70.2462,04106,,,
1569152422,09/22/2019 07:40:22 -04:00,4,43.6425,-70.2323,04106,Fuel oil,,
1569154265,09/22/2019 08:11:05 -04:00,2,43.6316,-70.2535,04106,Oil,,
1569155863,09/22/2019 08:37:43 -04:00,5,43.6313,-70.2737,04106,,,
1569199954,09/22/2019 20:52:34 -04:00,2,43.6226,-70.2918,04106,Petroleum,,
1569253817,09/23/2019 11:50:17 -04:00,4,43.6285,-70.2933,04106,,,
1569273946,09/23/2019 17:25:46 -04:00,5,43.6432,-70.2893,04106,,,
1569274735,09/23/2019 17:38:55 -04:00,4,43.6439,-70.2925,04102,Sulfur,,
1569286024,09/23/2019 20:47:04 -04:00,3,43.6238,-70.2918,04106,Sulfur/petroleum ,,
1569323974,09/24/2019 07:19:34 -04:00,4,43.638,-70.2519,04106,Sewer ,,
1569329994,09/24/2019 08:59:54 -04:00,3,43.6261,-70.2787,04106,,,
1569335866,09/24/2019 10:37:46 -04:00,3,43.634,-70.2711,04106,Industrial petroleum ,Eye irritation and constricted breathing,
1569359786,09/24/2019 17:16:26 -04:00,5,43.625,-70.2924,04106,Diesel ,Headache ,
1569380143,09/24/2019 22:55:43 -04:00,4,43.6262,-70.2628,04106,,,
1569391390,09/25/2019 02:03:10 -04:00,3,43.655,-70.2766,04102,Back cove sewage plant waft,,
1569524254,09/26/2019 14:57:34 -04:00,1,43.6357,-70.2776,04106,,,
1569584847,09/27/2019 07:47:27 -04:00,3,43.6361,-70.2707,04106,"Industrial, petroleum ",,
1569584927,09/27/2019 07:48:47 -04:00,3,43.636,-70.2703,04106,"Industrial, chemical ",Light headed ,
1569788060,09/29/2019 16:14:20 -04:00,5,43.6324,-70.2894,04106,Oil,,
1569801002,09/29/2019 19:50:02 -04:00,3,43.6335,-70.2527,04106,,,
1569848617,09/30/2019 09:03:37 -04:00,2,43.6245,-70.2907,04106,Sulfur,,
